DUID,Avg_Market_Share_Pct,Intervals_Participated,Participation_Pct,Total_RAISE1SEC
BULBESG1,22.0,15,0.95,165.0
DRVIOT04,20.743918053777207,1562,99.36,16201.0
ASNENC1,15.534516539440203,1572,100.0,12210.13443
VENUS1,14.068479643765905,1572,100.0,11057.82444
WALGRVG1,10.943281452658885,1542,98.09,8437.27229
QBYNBG1,9.878744827586207,1450,92.24,7162.08134
DRVIOT05,7.38996138996139,1554,98.85,5742.0
HPRG1,6.887029288702929,239,15.2,823.0
LBBG1,6.760840998685939,1522,96.82,5145.0
VBBG1,4.702903225806452,93,5.92,218.6875
ASSENC1,3.976435935198822,1358,86.39,2700.0
ASQENC1,3.1577868852459017,976,62.09,1541.0
DRVIOT02,2.0850174216027875,1435,91.28,1496.0
ASRMGE03,2.0,1395,88.74,1395.0
ASRMGE02,2.0,1433,91.16,1433.0
ASRMGE01,2.0,1411,89.76,1411.0
DRVIOT03,2.0,1462,93.0,1462.0
